trade_id,counterparty_name,risk_class,notional_usd,currency_code,value_date,risk_limit_flag
TR10001,Acme Capital LLC,FX,5000000,USD,2026-06-10,FALSE
TR10002,Acme Capital LLC,FX,4800000,USD,2026-06-11,FALSE
TR10003,Acme Capital LLC,FX,5800000,USD,2026-06-12,FALSE
TR10005,Beacon Partners,Rates,10000000,USD,2026-06-09,FALSE
TR10006,Beacon Partners,Rates,8500000,USD,2026-06-10,FALSE
TR10007,Beacon Partners,Rates,6500000,USD,2026-06-13,FALSE
TR10008,Cresta Holdings,Credit,4000000,USD,2026-06-10,FALSE
TR10009,Cresta Holdings,Credit,3605000,USD,2026-06-11,FALSE
TR10010,Cresta Holdings,Credit,2800000,USD,2026-06-15,FALSE
TR10011,Delta Square Investments,Equity,3000000,USD,2026-06-09,FALSE
TR10012,Delta Square Investments,Equity,2500000,USD,2026-06-12,FALSE
TR10013,Delta Square Investments,Equity,2000000,USD,2026-06-16,FALSE
TR10014,Everest Macro Fund,FX,6000000,USD,2026-06-10,FALSE
TR10015,Everest Macro Fund,FX,4500000,USD,2026-06-11,FALSE
TR10016,Falcon Bridge Partners,Rates,7000000,USD,2026-06-12,FALSE
TR10017,Falcon Bridge Partners,Rates,4850000,USD,2026-06-13,FALSE
TR10018,Falcon Bridge Partners,Rates,4000000,USD,2026-06-16,FALSE
TR10019,Granite Peak Capital,Credit,3800000,USD,2026-06-09,FALSE
TR10020,Granite Peak Capital,Credit,2900000,USD,2026-06-14,FALSE
TR10021,Harbor View Asset Mgmt,FX,9000000,USD,2026-06-10,FALSE
TR10022,Harbor View Asset Mgmt,FX,7200000,USD,2026-06-11,FALSE
TR10023,Harbor View Asset Mgmt,FX,5500000,USD,2026-06-15,FALSE
TR10026,Granite Peak Capital,Credit,2400000,USD,2026-06-16,FALSE
